,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,availability_30,availability_90,number_of_reviews,latitude,longitude,property_type,room_type,neighbourhood_cleansed,minimum_nights,maximum_nights
3468,1.0,1.0,1.0,Real Bed,11.0,68.0,0,0,12,42.34801750102376,-71.13607079039966,Apartment,Entire home/apt,Allston,1,1125
3469,2.0,3.0,3.0,Real Bed,209.0,95.0,0,0,3,42.34927683256522,-71.1307408088266,Apartment,Entire home/apt,Allston,3,1125
3470,2.0,3.0,3.0,Real Bed,259.0,95.0,0,0,0,42.34955268268768,-71.1296086939324,Apartment,Entire home/apt,Allston,3,1125
3471,1.0,1.0,1.0,Real Bed,120.0,60.0,0,0,8,42.36453585044336,-71.11837974523743,Apartment,Entire home/apt,Allston,14,99
3472,2.0,1.0,1.0,Airbed,45.0,50.0,0,0,0,42.35276204015237,-71.12726941836672,House,Private room,Allston,1,1125
3473,1.0,2.0,2.0,Real Bed,298.0,30.0,0,0,0,42.34807465198055,-71.13538817149717,Apartment,Entire home/apt,Allston,2,1125
3474,1.0,0.0,1.0,Futon,55.0,68.0,30,88,1,42.34780681521888,-71.13846167627196,House,Entire home/apt,Allston,1,1125
3475,1.5,1.0,1.0,Real Bed,58.0,50.0,30,90,4,42.35536688969624,-71.13735574278704,House,Private room,Allston,273,364
3476,2.5,1.0,1.0,Real Bed,80.0,10.0,1,22,38,42.35192949192535,-71.14205607147838,House,Private room,Allston,30,1125
3477,1.0,1.0,1.0,Real Bed,149.0,59.0,10,38,3,42.362984227015176,-71.12901667122829,Apartment,Entire home/apt,Allston,3,1125
3478,1.0,1.0,1.0,Real Bed,159.0,95.0,0,0,0,42.34988640574164,-71.13085675537378,Apartment,Entire home/apt,Allston,3,1125
3479,1.0,1.0,2.0,Real Bed,60.0,15.0,9,56,0,42.35307881635998,-71.12640357261597,Apartment,Private room,Allston,1,1125
3480,2.0,3.0,3.0,Real Bed,279.0,75.0,16,59,11,42.35585153546842,-71.12821635393416,House,Entire home/apt,Allston,2,60
3481,1.0,0.0,1.0,Real Bed,83.0,68.0,0,0,1,42.350094550887896,-71.13258852888467,Apartment,Entire home/apt,Allston,1,1
